,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
286,24429,2 punti sbagliato,,Kyle Hines,missed,560,560,1095.0,196.0,4
287,24429,3 punti sbagliato,,Prentiss Hubb,missed,577,577,630.0,924.0,6
288,24429,2 punti segnato,,Derek Cooke,made,577,577,630.0,924.0,6
289,24429,2 punti segnato,Devon Hall,Kyle Hines,made,600,600,750.0,196.0,0
290,24429,2 punti sbagliato,,Matt Mooney,missed,42,642,870.0,504.0,3
291,24429,2 punti sbagliato,,Devon Hall,missed,63,663,615.0,280.0,0
292,24429,3 punti segnato,,Prentiss Hubb,made,81,681,420.0,812.0,6
293,24429,3 punti sbagliato,,Giampaolo Ricci,missed,109,709,1365.0,616.0,7
294,24429,2 punti sbagliato,,Devon Hall,missed,127,727,780.0,252.0,0
295,24429,2 punti sbagliato,,Giampaolo Ricci,missed,127,727,780.0,252.0,0
296,24429,2 punti segnato,,Quinn Ellis,made,141,741,1035.0,364.0,3
297,24429,2 punti segnato,Nikola Mirotic,Stefano Tonut,made,166,766,315.0,560.0,2
298,24429,3 punti sbagliato,,Quinn Ellis,missed,182,782,1155.0,812.0,7
299,24429,2 punti segnato,Prentiss Hubb,Derek Cooke,made,190,790,870.0,196.0,0
300,24429,3 punti sbagliato,,Stefano Tonut,missed,203,803,75.0,420.0,5
301,24429,3 punti sbagliato,,Prentiss Hubb,missed,222,822,720.0,924.0,6
302,24429,2 punti segnato,Matt Mooney,Derek Cooke,made,258,858,780.0,420.0,3
303,24429,2 punti segnato,,Nikola Mirotic,made,279,879,1005.0,140.0,4
304,24429,2 punti sbagliato,,Derek Cooke,missed,292,892,855.0,140.0,0
305,24429,3 punti sbagliato,,Stefano Tonut,missed,310,910,30.0,336.0,5
306,24429,3 punti sbagliato,,Nikola Mirotic,missed,329,929,1455.0,112.0,8
307,24429,2 punti segnato,,Stefano Tonut,made,329,929,1455.0,112.0,8
308,24429,2 punti segnato,Quinn Ellis,Toto Forray,made,354,954,855.0,504.0,3
309,24429,3 punti sbagliato,,Nicolò Melli,missed,371,971,435.0,868.0,6
310,24429,3 punti sbagliato,,Prentiss Hubb,missed,387,987,495.0,868.0,6
311,24429,3 punti segnato,Derek Cooke,Davide Alviti,made,394,994,105.0,504.0,5
312,24429,2 punti segnato,Quinn Ellis,Derek Cooke,made,409,1009,795.0,168.0,0
313,24429,3 punti sbagliato,,Nicolò Melli,missed,431,1031,1455.0,196.0,8
314,24429,3 punti segnato,Shavon Shields,Nicolò Melli,made,443,1043,1320.0,644.0,7
315,24429,2 punti segnato,,Derek Cooke,made,467,1067,750.0,196.0,0
316,24429,2 punti sbagliato,,Nikola Mirotic,missed,485,1085,780.0,336.0,0
317,24429,2 punti sbagliato,,Shavon Shields,missed,516,1116,825.0,196.0,0
318,24429,2 punti sbagliato,,Toto Forray,missed,524,1124,810.0,280.0,0
319,24429,3 punti sbagliato,,Davide Alviti,missed,529,1129,300.0,756.0,6
320,24429,2 punti sbagliato,,Quinn Ellis,missed,597,1197,675.0,280.0,0
321,24429,3 punti sbagliato,,Devon Hall,missed,599,1199,495.0,476.0,2
322,24429,2 punti sbagliato,,Shabazz Napier,missed,22,1222,675.0,700.0,2
323,24429,2 punti sbagliato,,Kamar Baldwin,missed,40,1240,390.0,588.0,2
324,24429,2 punti segnato,Nicolò Melli,Stefano Tonut,made,56,1256,945.0,252.0,0
325,24429,3 punti segnato,Matt Mooney,Paul Stephan Biligha,made,95,1295,450.0,868.0,6
326,24429,3 punti sbagliato,,Nikola Mirotic,missed,115,1315,690.0,952.0,6
327,24429,3 punti sbagliato,,Nicolò Melli,missed,142,1342,180.0,616.0,6
328,24429,3 punti sbagliato,,Kamar Baldwin,missed,149,1349,1410.0,476.0,8
329,24429,2 punti segnato,,Shavon Shields,made,160,1360,690.0,140.0,0
330,24429,2 punti segnato,Davide Alviti,Kamar Baldwin,made,184,1384,780.0,196.0,0
331,24429,2 punti sbagliato,,Shavon Shields,missed,200,1400,750.0,784.0,2
332,24429,3 punti segnato,Kamar Baldwin,Davide Alviti,made,211,1411,225.0,756.0,6
333,24429,2 punti segnato,Shabazz Napier,Stefano Tonut,made,226,1426,915.0,140.0,0
334,24429,2 punti segnato,Stefano Tonut,Shavon Shields,made,266,1466,810.0,224.0,0
335,24429,3 punti sbagliato,,Prentiss Hubb,missed,299,1499,45.0,224.0,5
336,24429,3 punti sbagliato,,Shabazz Napier,missed,322,1522,60.0,392.0,5
337,24429,3 punti segnato,Kamar Baldwin,Toto Forray,made,342,1542,240.0,756.0,6
338,24429,2 punti sbagliato,,Davide Alviti,missed,368,1568,735.0,308.0,0
339,24429,2 punti segnato,,Shabazz Napier,made,372,1572,810.0,280.0,0
340,24429,3 punti sbagliato,,Prentiss Hubb,missed,387,1587,915.0,924.0,7
341,24429,3 punti sbagliato,,Shabazz Napier,missed,393,1593,1245.0,728.0,7
342,24429,2 punti segnato,Prentiss Hubb,Derek Cooke,made,401,1601,765.0,224.0,0
343,24429,2 punti segnato,,Kyle Hines,made,415,1615,840.0,196.0,0
344,24429,2 punti segnato,,Kamar Baldwin,made,434,1634,765.0,280.0,0
345,24429,3 punti segnato,Prentiss Hubb,Kamar Baldwin,made,466,1666,1110.0,868.0,7
346,24429,2 punti sbagliato,,Billy Baron,missed,486,1686,150.0,308.0,1
347,24429,3 punti sbagliato,,Giampaolo Ricci,missed,492,1692,1455.0,112.0,8
348,24429,3 punti segnato,,Prentiss Hubb,made,510,1710,1110.0,840.0,7
349,24429,2 punti sbagliato,,Shavon Shields,missed,532,1732,645.0,728.0,2
350,24429,2 punti segnato,Prentiss Hubb,Derek Cooke,made,545,1745,780.0,224.0,0
351,24429,3 punti sbagliato,,Daulton Hommes,missed,582,1782,1410.0,504.0,8
352,24429,2 punti sbagliato,,Shavon Shields,missed,597,1797,780.0,308.0,0
353,24429,3 punti sbagliato,,Giampaolo Ricci,missed,25,1825,1155.0,784.0,7
354,24429,3 punti sbagliato,,Prentiss Hubb,missed,44,1844,1095.0,868.0,7
355,24429,3 punti sbagliato,,Quinn Ellis,missed,59,1859,300.0,812.0,6
356,24429,3 punti sbagliato,,Prentiss Hubb,missed,105,1905,1215.0,784.0,7
357,24429,2 punti sbagliato,,Kamar Baldwin,missed,137,1937,690.0,672.0,2
358,24429,3 punti sbagliato,,Daulton Hommes,missed,175,1975,1305.0,672.0,7
359,24429,2 punti segnato,,Prentiss Hubb,made,184,1984,750.0,364.0,0
360,24429,2 punti segnato,,Shavon Shields,made,203,2003,540.0,644.0,2
361,24429,2 punti segnato,Kamar Baldwin,Daulton Hommes,made,218,2018,615.0,196.0,0
362,24429,3 punti sbagliato,,Devon Hall,missed,242,2042,45.0,196.0,5
363,24429,2 punti segnato,,Kamar Baldwin,made,258,2058,780.0,252.0,0
