,game_id,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
202,Milano Trento game 4,3 punti segnato,Diego Flaccadori,Devon Hall,made,114,714,1170,728,7
203,Milano Trento game 4,2 punti sbagliato,,Diego Flaccadori,missed,201,801,750,308,0
204,Milano Trento game 4,2 punti segnato,,Nicolò Melli,made,201,801,795,196,0
205,Milano Trento game 4,2 punti segnato,Giampaolo Ricci,Johannes Voigtmann,made,223,823,810,252,0
206,Milano Trento game 4,3 punti sbagliato,,Nicolò Melli,missed,263,863,1305,644,7
207,Milano Trento game 4,3 punti sbagliato,,Devon Hall,missed,381,981,1050,840,7
208,Milano Trento game 4,2 punti sbagliato,,Shabazz Napier,missed,396,996,735,588,2
209,Milano Trento game 4,2 punti segnato,,Shabazz Napier,made,434,1034,690,168,0
210,Milano Trento game 4,2 punti sbagliato,,Nicolò Melli,missed,478,1078,465,532,2
211,Milano Trento game 4,2 punti segnato,Diego Flaccadori,Kyle Hines,made,514,1114,855,364,0
212,Milano Trento game 4,2 punti sbagliato,,Stefano Tonut,missed,540,1140,840,252,0
213,Milano Trento game 4,3 punti sbagliato,,Shabazz Napier,missed,565,1165,1005,868,7
214,Milano Trento game 4,3 punti sbagliato,,Diego Flaccadori,missed,599,1199,855,952,7
215,Milano Trento game 4,3 punti segnato,Stefano Tonut,Nicolò Melli,made,81,1281,75,420,5
216,Milano Trento game 4,2 punti segnato,,Devon Hall,made,125,1325,660,252,0
217,Milano Trento game 4,3 punti segnato,Devon Hall,Stefano Tonut,made,167,1367,1230,728,7
218,Milano Trento game 4,3 punti sbagliato,,Shabazz Napier,missed,220,1420,345,1232,6
219,Milano Trento game 4,2 punti segnato,,Nikola Mirotic,made,257,1457,375,252,1
220,Milano Trento game 4,2 punti sbagliato,,Stefano Tonut,missed,282,1482,585,420,2
221,Milano Trento game 4,2 punti segnato,,Diego Flaccadori,made,308,1508,615,308,0
222,Milano Trento game 4,3 punti segnato,Devon Hall,Giampaolo Ricci,made,347,1547,210,700,6
223,Milano Trento game 4,2 punti segnato,Johannes Voigtmann,Kyle Hines,made,367,1567,720,224,0
224,Milano Trento game 4,2 punti segnato,,Diego Flaccadori,made,406,1606,945,644,3
225,Milano Trento game 4,2 punti sbagliato,,Kyle Hines,missed,447,1647,705,700,2
226,Milano Trento game 4,2 punti segnato,Kyle Hines,Giampaolo Ricci,made,458,1658,810,224,0
227,Milano Trento game 4,2 punti segnato,Diego Flaccadori,Giampaolo Ricci,made,490,1690,690,224,0
228,Milano Trento game 4,2 punti sbagliato,,Diego Flaccadori,missed,526,1726,825,336,0
229,Milano Trento game 4,3 punti sbagliato,,Giampaolo Ricci,missed,539,1739,1170,812,7
230,Milano Trento game 4,2 punti segnato,,Stefano Tonut,made,557,1757,840,224,0
231,Milano Trento game 4,2 punti segnato,Kyle Hines,Johannes Voigtmann,made,594,1794,795,252,0
232,Milano Trento game 4,2 punti segnato,,Johannes Voigtmann,made,17,1817,660,252,0
233,Milano Trento game 4,3 punti segnato,,Nicolò Melli,made,71,1871,600,924,6
234,Milano Trento game 4,3 punti segnato,Shabazz Napier,Nicolò Melli,made,106,1906,30,224,5
235,Milano Trento game 4,2 punti segnato,,Stefano Tonut,made,195,1995,450,588,2
236,Milano Trento game 4,3 punti sbagliato,,Nicolò Melli,missed,246,2046,555,868,6
237,Milano Trento game 4,2 punti segnato,,Nikola Mirotic,made,298,2098,270,252,1
238,Milano Trento game 4,3 punti sbagliato,,Stefano Tonut,missed,330,2130,960,896,7
239,Milano Trento game 4,3 punti sbagliato,,Stefano Tonut,missed,365,2165,1440,308,8
240,Milano Trento game 4,3 punti sbagliato,,Guglielmo Caruso,missed,379,2179,1110,924,7
241,Milano Trento game 4,3 punti sbagliato,,Giordano Bortolani,missed,478,2278,1080,840,7
242,Milano Trento game 4,2 punti sbagliato,,Diego Flaccadori,missed,510,2310,615,252,0
243,Milano Trento game 4,2 punti segnato,,Guglielmo Caruso,made,541,2341,600,280,0
244,Milano Trento game 4,2 punti segnato,,Giordano Bortolani,made,560,2360,765,252,0
245,Milano Brescia game 1,3 punti sbagliato,,Shavon Shields,missed,36,36,465,980,6
246,Milano Brescia game 1,2 punti sbagliato,,Stefano Tonut,missed,62,62,720,364,0
247,Milano Brescia game 1,3 punti segnato,Shabazz Napier,Stefano Tonut,made,130,130,1125,812,7
248,Milano Brescia game 1,2 punti segnato,Shabazz Napier,Shavon Shields,made,155,155,765,168,0
249,Milano Brescia game 1,2 punti segnato,Shabazz Napier,Stefano Tonut,made,171,171,765,196,0
250,Milano Brescia game 1,2 punti segnato,Johannes Voigtmann,Stefano Tonut,made,181,181,810,168,0
251,Milano Brescia game 1,2 punti segnato,Nicolò Melli,Stefano Tonut,made,217,217,660,168,0
252,Milano Brescia game 1,3 punti segnato,Devon Hall,Johannes Voigtmann,made,280,280,1140,812,7
253,Milano Brescia game 1,2 punti sbagliato,,Kyle Hines,missed,321,321,645,644,2
254,Milano Brescia game 1,2 punti sbagliato,,Shabazz Napier,missed,330,330,645,252,0
255,Milano Brescia game 1,3 punti segnato,Devon Hall,Johannes Voigtmann,made,343,343,975,896,7
256,Milano Brescia game 1,2 punti sbagliato,,Stefano Tonut,missed,371,371,270,420,1
257,Milano Brescia game 1,2 punti sbagliato,,Devon Hall,missed,460,460,510,364,2
258,Milano Brescia game 1,2 punti segnato,,Kyle Hines,made,460,460,510,364,2
259,Milano Brescia game 1,2 punti segnato,,Johannes Voigtmann,made,523,523,375,308,1
260,Milano Brescia game 1,3 punti segnato,Kyle Hines,Johannes Voigtmann,made,560,560,1005,896,7
261,Milano Brescia game 1,2 punti segnato,,Devon Hall,made,591,591,600,168,0
262,Milano Brescia game 1,2 punti segnato,Devon Hall,Nicolò Melli,made,13,613,750,560,2
263,Milano Brescia game 1,3 punti sbagliato,,Johannes Voigtmann,missed,54,654,1155,812,7
264,Milano Brescia game 1,2 punti sbagliato,,Shavon Shields,missed,102,702,750,280,0
265,Milano Brescia game 1,2 punti sbagliato,,Shavon Shields,missed,102,702,750,280,0
266,Milano Brescia game 1,3 punti sbagliato,,Diego Flaccadori,missed,128,728,1365,644,7
267,Milano Brescia game 1,3 punti sbagliato,,Nikola Mirotic,missed,134,734,60,364,5
268,Milano Brescia game 1,2 punti segnato,Stefano Tonut,Nicolò Melli,made,162,762,840,672,3
269,Milano Brescia game 1,2 punti sbagliato,,Nicolò Melli,missed,196,796,390,644,2
270,Milano Brescia game 1,2 punti segnato,,Nikola Mirotic,made,196,796,390,644,2
271,Milano Brescia game 1,2 punti sbagliato,,Nikola Mirotic,missed,239,839,645,336,0
