"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
"Milano Trento game 4","3 punti sbagliato","","Shabazz Napier","missed",220,1420,345,1232
"Milano Trento game 4","2 punti segnato","","Nikola Mirotic","made",257,1457,375,252
"Milano Trento game 4","2 punti sbagliato","","Stefano Tonut","missed",282,1482,585,420
"Milano Trento game 4","2 punti segnato","","Diego Flaccadori","made",308,1508,615,308
"Milano Trento game 4","3 punti segnato","Devon Hall","Giampaolo Ricci","made",347,1547,210,700
"Milano Trento game 4","2 punti segnato","Johannes Voigtmann","Kyle Hines","made",367,1567,720,224
"Milano Trento game 4","2 punti segnato","","Diego Flaccadori","made",406,1606,945,644
"Milano Trento game 4","2 punti sbagliato","","Kyle Hines","missed",447,1647,705,700
"Milano Trento game 4","2 punti segnato","Kyle Hines","Giampaolo Ricci","made",458,1658,810,224
"Milano Trento game 4","2 punti segnato","Diego Flaccadori","Giampaolo Ricci","made",490,1690,690,224
"Milano Trento game 4","2 punti sbagliato","","Diego Flaccadori","missed",526,1726,825,336
"Milano Trento game 4","3 punti sbagliato","","Giampaolo Ricci","missed",539,1739,1170,812
"Milano Trento game 4","2 punti segnato","","Stefano Tonut","made",557,1757,840,224
"Milano Trento game 4","2 punti segnato","Kyle Hines","Johannes Voigtmann","made",594,1794,795,252
"Milano Trento game 4","2 punti segnato","","Johannes Voigtmann","made",17,1817,660,252
"Milano Trento game 4","3 punti segnato","","Nicolò Melli","made",71,1871,600,924
"Milano Trento game 4","3 punti segnato","Shabazz Napier","Nicolò Melli","made",106,1906,30,224
"Milano Trento game 4","2 punti segnato","","Stefano Tonut","made",195,1995,450,588
"Milano Trento game 4","3 punti sbagliato","","Nicolò Melli","missed",246,2046,555,868
"Milano Trento game 4","2 punti segnato","","Nikola Mirotic","made",298,2098,270,252
"Milano Trento game 4","3 punti sbagliato","","Stefano Tonut","missed",330,2130,960,896
"Milano Trento game 4","3 punti sbagliato","","Stefano Tonut","missed",365,2165,1440,308
"Milano Trento game 4","3 punti sbagliato","","Guglielmo Caruso","missed",379,2179,1110,924
"Milano Trento game 4","3 punti sbagliato","","Giordano Bortolani","missed",478,2278,1080,840
"Milano Trento game 4","2 punti sbagliato","","Diego Flaccadori","missed",510,2310,615,252
"Milano Trento game 4","2 punti segnato","","Guglielmo Caruso","made",541,2341,600,280
"Milano Trento game 4","2 punti segnato","","Giordano Bortolani","made",560,2360,765,252
"Milano Brescia game 1","3 punti sbagliato","","Shavon Shields","missed",36,36,465,980
"Milano Brescia game 1","2 punti sbagliato","","Stefano Tonut","missed",62,62,720,364
"Milano Brescia game 1","3 punti segnato","Shabazz Napier","Stefano Tonut","made",130,130,1125,812
"Milano Brescia game 1","2 punti segnato","Shabazz Napier","Shavon Shields","made",155,155,765,168
"Milano Brescia game 1","2 punti segnato","Shabazz Napier","Stefano Tonut","made",171,171,765,196
"Milano Brescia game 1","2 punti segnato","Johannes Voigtmann","Stefano Tonut","made",181,181,810,168
"Milano Brescia game 1","2 punti segnato","Nicolò Melli","Stefano Tonut","made",217,217,660,168
"Milano Brescia game 1","3 punti segnato","Devon Hall","Johannes Voigtmann","made",280,280,1140,812
"Milano Brescia game 1","2 punti sbagliato","","Kyle Hines","missed",321,321,645,644
"Milano Brescia game 1","2 punti sbagliato","","Shabazz Napier","missed",330,330,645,252
"Milano Brescia game 1","3 punti segnato","Devon Hall","Johannes Voigtmann","made",343,343,975,896
"Milano Brescia game 1","2 punti sbagliato","","Stefano Tonut","missed",371,371,270,420
"Milano Brescia game 1","2 punti sbagliato","","Devon Hall","missed",460,460,510,364
"Milano Brescia game 1","2 punti segnato","","Kyle Hines","made",460,460,510,364
"Milano Brescia game 1","2 punti segnato","","Johannes Voigtmann","made",523,523,375,308
"Milano Brescia game 1","3 punti segnato","Kyle Hines","Johannes Voigtmann","made",560,560,1005,896
"Milano Brescia game 1","2 punti segnato","","Devon Hall","made",591,591,600,168
"Milano Brescia game 1","2 punti segnato","Devon Hall","Nicolò Melli","made",13,613,750,560
"Milano Brescia game 1","3 punti sbagliato","","Johannes Voigtmann","missed",54,654,1155,812
"Milano Brescia game 1","2 punti sbagliato","","Shavon Shields","missed",102,702,750,280
"Milano Brescia game 1","2 punti sbagliato","","Shavon Shields","missed",102,702,750,280
"Milano Brescia game 1","3 punti sbagliato","","Diego Flaccadori","missed",128,728,1365,644
"Milano Brescia game 1","3 punti sbagliato","","Nikola Mirotic","missed",134,734,60,364
"Milano Brescia game 1","2 punti segnato","Stefano Tonut","Nicolò Melli","made",162,762,840,672
"Milano Brescia game 1","2 punti sbagliato","","Nicolò Melli","missed",196,796,390,644
"Milano Brescia game 1","2 punti segnato","","Nikola Mirotic","made",196,796,390,644
"Milano Brescia game 1","2 punti sbagliato","","Nikola Mirotic","missed",239,839,645,336
"Milano Brescia game 1","3 punti sbagliato","","Stefano Tonut","missed",270,870,1440,140
"Milano Brescia game 1","3 punti segnato","","Shabazz Napier","made",345,945,210,672
"Milano Brescia game 1","3 punti segnato","Devon Hall","Johannes Voigtmann","made",431,1031,1305,700
"Milano Brescia game 1","2 punti segnato","Johannes Voigtmann","Stefano Tonut","made",449,1049,765,252
"Milano Brescia game 1","3 punti sbagliato","","Devon Hall","missed",511,1111,315,840
"Milano Brescia game 1","3 punti segnato","Devon Hall","Johannes Voigtmann","made",535,1135,150,672
"Milano Brescia game 1","2 punti segnato","Stefano Tonut","Johannes Voigtmann","made",560,1160,1305,420
"Milano Brescia game 1","3 punti sbagliato","","Shabazz Napier","missed",593,1193,450,896
"Milano Brescia game 1","2 punti sbagliato","","Johannes Voigtmann","missed",40,1240,390,224
"Milano Brescia game 1","3 punti sbagliato","","Johannes Voigtmann","missed",82,1282,30,168
"Milano Brescia game 1","2 punti sbagliato","","Stefano Tonut","missed",113,1313,900,252
"Milano Brescia game 1","2 punti sbagliato","","Shabazz Napier","missed",127,1327,840,728
"Milano Brescia game 1","2 punti segnato","Stefano Tonut","Kyle Hines","made",166,1366,840,252
"Milano Brescia game 1","2 punti segnato","Shabazz Napier","Kyle Hines","made",220,1420,855,252
"Milano Brescia game 1","2 punti sbagliato","","Stefano Tonut","missed",255,1455,675,280
"Milano Brescia game 1","2 punti segnato","","Kyle Hines","made",255,1455,675,280
"Milano Brescia game 1","3 punti sbagliato","","Shavon Shields","missed",301,1501,390,840
"Milano Brescia game 1","3 punti segnato","Devon Hall","Diego Flaccadori","made",345,1545,45,112
"Milano Brescia game 1","3 punti sbagliato","","Stefano Tonut","missed",422,1622,1425,392
"Milano Brescia game 1","3 punti sbagliato","","Giampaolo Ricci","missed",478,1678,1305,672
"Milano Brescia game 1","2 punti segnato","","Giampaolo Ricci","made",545,1745,885,224
