"game_id","description","assist","player","result","periodTime","totalTime","xx","yy"
"Brescia Pistoia game 3","2 punti segnato","Amedeo Della Valle","Semaj Christon","made",111,111,660,336
"Brescia Pistoia game 3","2 punti segnato","Nicola Akele","Miro Bilan","made",126,126,750,140
"Brescia Pistoia game 3","3 punti segnato","Miro Bilan","Amedeo Della Valle","made",156,156,345,784
"Brescia Pistoia game 3","2 punti sbagliato","","Amedeo Della Valle","missed",203,203,585,336
"Brescia Pistoia game 3","2 punti sbagliato","","Semaj Christon","missed",231,231,885,364
"Brescia Pistoia game 3","2 punti segnato","","Semaj Christon","made",275,275,675,280
"Brescia Pistoia game 3","3 punti segnato","","Amedeo Della Valle","made",310,310,705,896
"Brescia Pistoia game 3","2 punti segnato","","Nicola Akele","made",359,359,765,196
"Brescia Pistoia game 3","3 punti sbagliato","","Amedeo Della Valle","missed",400,400,480,868
"Brescia Pistoia game 3","2 punti segnato","","Miro Bilan","made",400,400,750,280
"Brescia Pistoia game 3","2 punti sbagliato","","Amedeo Della Valle","missed",438,438,1005,308
"Brescia Pistoia game 3","2 punti sbagliato","","C.J. Massinburg","missed",444,444,720,280
"Brescia Pistoia game 3","2 punti sbagliato","","Miro Bilan","missed",473,473,825,336
"Brescia Pistoia game 3","2 punti segnato","","Jason Burnell","made",473,473,825,336
"Brescia Pistoia game 3","2 punti segnato","","Miro Bilan","made",504,504,630,336
"Brescia Pistoia game 3","3 punti segnato","C.J. Massinburg","David Reginald Cournooh","made",532,532,1245,700
"Brescia Pistoia game 3","2 punti sbagliato","","David Reginald Cournooh","missed",570,570,645,364
"Brescia Pistoia game 3","2 punti sbagliato","","C.J. Massinburg","missed",39,639,750,280
"Brescia Pistoia game 3","2 punti segnato","","Michael Cobbins","made",39,639,750,280
"Brescia Pistoia game 3","2 punti sbagliato","","Nicola Akele","missed",70,670,555,224
"Brescia Pistoia game 3","2 punti sbagliato","","David Reginald Cournooh","missed",116,716,855,448
"Brescia Pistoia game 3","2 punti sbagliato","","David Reginald Cournooh","missed",146,746,480,252
"Brescia Pistoia game 3","2 punti segnato","","Nicola Akele","made",146,746,480,252
"Brescia Pistoia game 3","2 punti sbagliato","","Jason Burnell","missed",209,809,930,112
"Brescia Pistoia game 3","2 punti segnato","","Michael Cobbins","made",219,819,750,140
"Brescia Pistoia game 3","3 punti segnato","Semaj Christon","Amedeo Della Valle","made",267,867,1350,616
"Brescia Pistoia game 3","3 punti segnato","","Amedeo Della Valle","made",295,895,570,840
"Brescia Pistoia game 3","3 punti segnato","Miro Bilan","Kenny Gabriel","made",336,936,555,868
"Brescia Pistoia game 3","2 punti segnato","Semaj Christon","Miro Bilan","made",362,962,750,196
"Brescia Pistoia game 3","3 punti segnato","Semaj Christon","Kenny Gabriel","made",403,1003,1305,672
"Brescia Pistoia game 3","2 punti segnato","","Jason Burnell","made",443,1043,825,224
"Brescia Pistoia game 3","3 punti sbagliato","","Amedeo Della Valle","missed",515,1115,465,840
"Brescia Pistoia game 3","2 punti segnato","","Nicola Akele","made",524,1124,1035,140
"Brescia Pistoia game 3","2 punti segnato","Miro Bilan","Nicola Akele","made",552,1152,750,196
"Brescia Pistoia game 3","3 punti sbagliato","","Miro Bilan","missed",588,1188,285,756
"Brescia Pistoia game 3","3 punti sbagliato","","Amedeo Della Valle","missed",27,1227,240,672
"Brescia Pistoia game 3","2 punti sbagliato","","Semaj Christon","missed",66,1266,675,252
"Brescia Pistoia game 3","3 punti sbagliato","","Kenny Gabriel","missed",93,1293,285,756
"Brescia Pistoia game 3","2 punti sbagliato","","Amedeo Della Valle","missed",206,1406,795,476
"Brescia Pistoia game 3","2 punti segnato","Miro Bilan","Nicola Akele","made",232,1432,780,140
"Brescia Pistoia game 3","2 punti sbagliato","","Amedeo Della Valle","missed",319,1519,690,308
"Brescia Pistoia game 3","2 punti segnato","","Amedeo Della Valle","made",353,1553,735,392
"Brescia Pistoia game 3","2 punti segnato","David Reginald Cournooh","Jason Burnell","made",376,1576,735,168
"Brescia Pistoia game 3","2 punti segnato","Semaj Christon","Miro Bilan","made",456,1656,825,168
"Brescia Pistoia game 3","2 punti segnato","","Miro Bilan","made",495,1695,720,196
"Brescia Pistoia game 3","2 punti sbagliato","","Semaj Christon","missed",527,1727,570,336
"Brescia Pistoia game 3","3 punti segnato","David Reginald Cournooh","Jason Burnell","made",553,1753,60,196
"Brescia Pistoia game 3","3 punti sbagliato","","David Reginald Cournooh","missed",595,1795,705,896
"Brescia Pistoia game 3","2 punti sbagliato","","Jason Burnell","missed",16,1816,810,364
"Brescia Pistoia game 3","2 punti segnato","","Semaj Christon","made",51,1851,750,252
"Brescia Pistoia game 3","2 punti segnato","Semaj Christon","Michael Cobbins","made",137,1937,765,168
"Brescia Pistoia game 3","2 punti segnato","","Nicola Akele","made",182,1982,675,280
"Brescia Pistoia game 3","2 punti sbagliato","","Semaj Christon","missed",229,2029,585,420
"Brescia Pistoia game 3","2 punti segnato","","Jason Burnell","made",259,2059,855,196
"Brescia Pistoia game 3","2 punti sbagliato","","Jason Burnell","missed",297,2097,765,168
"Brescia Pistoia game 3","2 punti sbagliato","","David Reginald Cournooh","missed",380,2180,810,196
"Brescia Pistoia game 3","2 punti segnato","","David Reginald Cournooh","made",380,2180,810,196
"Brescia Pistoia game 3","2 punti sbagliato","","David Reginald Cournooh","missed",422,2222,735,308
"Brescia Pistoia game 3","2 punti sbagliato","","David Reginald Cournooh","missed",427,2227,690,196
"Brescia Pistoia game 3","3 punti segnato","","Amedeo Della Valle","made",451,2251,765,896
"Brescia Pistoia game 3","3 punti sbagliato","","Amedeo Della Valle","missed",499,2299,615,980
"Brescia Pistoia game 3","2 punti sbagliato","","Jason Burnell","missed",539,2339,855,392
"Brescia Pistoia game 3","3 punti segnato","Amedeo Della Valle","Jason Burnell","made",575,2375,1470,140
"Milano Brescia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",48,48,270,728
"Milano Brescia game 1","2 punti segnato","Semaj Christon","Nicola Akele","made",69,69,870,196
"Milano Brescia game 1","3 punti segnato","Semaj Christon","Kenny Gabriel","made",145,145,1200,812
"Milano Brescia game 1","2 punti segnato","Amedeo Della Valle","Miro Bilan","made",194,194,900,308
"Milano Brescia game 1","3 punti segnato","Miro Bilan","Kenny Gabriel","made",230,230,60,448
"Milano Brescia game 1","3 punti sbagliato","","Semaj Christon","missed",304,304,45,168
"Milano Brescia game 1","2 punti segnato","Miro Bilan","Kenny Gabriel","made",360,360,780,224
"Milano Brescia game 1","3 punti segnato","John Petrucelli","Amedeo Della Valle","made",378,378,285,756
"Milano Brescia game 1","2 punti sbagliato","","Semaj Christon","missed",403,403,645,252
"Milano Brescia game 1","3 punti sbagliato","","Jason Burnell","missed",437,437,855,952
"Milano Brescia game 1","2 punti sbagliato","","Jason Burnell","missed",508,508,660,168
"Milano Brescia game 1","3 punti segnato","","C.J. Massinburg","made",539,539,840,924
"Milano Brescia game 1","2 punti segnato","","C.J. Massinburg","made",74,674,1005,616
"Milano Brescia game 1","3 punti sbagliato","","David Reginald Cournooh","missed",111,711,1350,672
"Milano Brescia game 1","3 punti segnato","Miro Bilan","C.J. Massinburg","made",220,820,1470,196
"Milano Brescia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",288,888,255,700
"Milano Brescia game 1","3 punti segnato","","C.J. Massinburg","made",318,918,960,924
"Milano Brescia game 1","2 punti sbagliato","","C.J. Massinburg","missed",360,960,810,252
"Milano Brescia game 1","3 punti sbagliato","","Miro Bilan","missed",382,982,750,952
"Milano Brescia game 1","3 punti segnato","C.J. Massinburg","Semaj Christon","made",411,1011,435,840
"Milano Brescia game 1","2 punti segnato","","Semaj Christon","made",443,1043,795,196
"Milano Brescia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",449,1049,1245,756
"Milano Brescia game 1","2 punti sbagliato","","Miro Bilan","missed",491,1091,555,224
"Milano Brescia game 1","2 punti segnato","","Amedeo Della Valle","made",518,1118,705,280
"Milano Brescia game 1","2 punti segnato","Miro Bilan","Amedeo Della Valle","made",548,1148,480,476
"Milano Brescia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",568,1168,630,952
"Milano Brescia game 1","3 punti sbagliato","","Semaj Christon","missed",599,1199,990,1120
"Milano Brescia game 1","2 punti sbagliato","","Miro Bilan","missed",63,1263,795,392
"Milano Brescia game 1","2 punti sbagliato","","Amedeo Della Valle","missed",95,1295,330,560
"Milano Brescia game 1","3 punti sbagliato","","Miro Bilan","missed",144,1344,720,952
"Milano Brescia game 1","3 punti sbagliato","","Semaj Christon","missed",187,1387,240,784
"Milano Brescia game 1","2 punti sbagliato","","John Petrucelli","missed",209,1409,825,308
"Milano Brescia game 1","2 punti segnato","","Miro Bilan","made",209,1409,825,308
"Milano Brescia game 1","2 punti segnato","Jason Burnell","Miro Bilan","made",279,1479,720,224
"Milano Brescia game 1","2 punti segnato","","Semaj Christon","made",316,1516,540,616
"Milano Brescia game 1","3 punti sbagliato","","John Petrucelli","missed",367,1567,1395,420
"Milano Brescia game 1","2 punti sbagliato","","Jason Burnell","missed",414,1614,765,196
"Milano Brescia game 1","3 punti sbagliato","","Kenny Gabriel","missed",489,1689,195,700
"Milano Brescia game 1","2 punti sbagliato","","John Petrucelli","missed",504,1704,855,196
"Milano Brescia game 1","2 punti sbagliato","","Miro Bilan","missed",531,1731,810,392
"Milano Brescia game 1","3 punti sbagliato","","John Petrucelli","missed",538,1738,270,840
"Milano Brescia game 1","3 punti segnato","","Amedeo Della Valle","made",557,1757,240,700
"Milano Brescia game 1","3 punti segnato","Semaj Christon","Amedeo Della Valle","made",597,1797,405,952
"Milano Brescia game 1","2 punti segnato","Semaj Christon","Michael Cobbins","made",37,1837,750,196
"Milano Brescia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",75,1875,375,840
"Milano Brescia game 1","3 punti sbagliato","","John Petrucelli","missed",98,1898,240,728
"Milano Brescia game 1","3 punti segnato","C.J. Massinburg","Amedeo Della Valle","made",134,1934,90,448
"Milano Brescia game 1","3 punti sbagliato","","Kenny Gabriel","missed",177,1977,315,868
"Milano Brescia game 1","3 punti segnato","","Amedeo Della Valle","made",192,1992,1185,840
"Milano Brescia game 1","3 punti sbagliato","","Kenny Gabriel","missed",285,2085,1065,840
"Milano Brescia game 1","2 punti sbagliato","","Semaj Christon","missed",390,2190,960,700
"Milano Brescia game 1","2 punti segnato","C.J. Massinburg","Michael Cobbins","made",418,2218,690,140
"Milano Brescia game 1","2 punti sbagliato","","C.J. Massinburg","missed",448,2248,720,336
"Milano Brescia game 1","3 punti sbagliato","","C.J. Massinburg","missed",489,2289,1425,84
"Milano Brescia game 1","2 punti segnato","","Amedeo Della Valle","made",543,2343,750,280
"Milano Brescia game 1","3 punti sbagliato","","Amedeo Della Valle","missed",573,2373,360,896
"Milano Brescia game 1","3 punti sbagliato","","Kenny Gabriel","missed",580,2380,915,896
"Milano Brescia game 1","2 punti sbagliato","","John Petrucelli","missed",592,2392,285,448
"Milano Brescia game 1","2 punti sbagliato","","C.J. Massinburg","missed",596,2396,450,420
"Milano Brescia game 2","2 punti sbagliato","","Miro Bilan","missed",49,49,750,196
"Milano Brescia game 2","2 punti sbagliato","","Semaj Christon","missed",103,103,645,252
"Milano Brescia game 2","3 punti sbagliato","","Kenny Gabriel","missed",133,133,345,756
"Milano Brescia game 2","2 punti sbagliato","","Amedeo Della Valle","missed",162,162,960,476
"Milano Brescia game 2","2 punti sbagliato","","C.J. Massinburg","missed",362,362,915,252
"Milano Brescia game 2","2 punti segnato","","Semaj Christon","made",398,398,525,700
"Milano Brescia game 2","2 punti sbagliato","","C.J. Massinburg","missed",465,465,645,224
"Milano Brescia game 2","3 punti sbagliato","","Jason Burnell","missed",520,520,1200,840
"Milano Brescia game 2","2 punti sbagliato","","Amedeo Della Valle","missed",568,568,825,252
"Milano Brescia game 2","2 punti segnato","","Michael Cobbins","made",568,568,825,252
"Milano Brescia game 2","2 punti segnato","","Jason Burnell","made",109,709,765,308
"Milano Brescia game 2","3 punti sbagliato","","C.J. Massinburg","missed",181,781,300,784
"Milano Brescia game 2","2 punti sbagliato","","Amedeo Della Valle","missed",202,802,675,252
"Milano Brescia game 2","2 punti segnato","","C.J. Massinburg","made",254,854,825,252
"Milano Brescia game 2","3 punti sbagliato","","Nicola Akele","missed",291,891,60,196
"Milano Brescia game 2","2 punti sbagliato","","Semaj Christon","missed",324,924,705,196
"Milano Brescia game 2","2 punti sbagliato","","Miro Bilan","missed",394,994,840,224
"Milano Brescia game 2","3 punti sbagliato","","John Petrucelli","missed",477,1077,1185,896
"Milano Brescia game 2","3 punti sbagliato","","John Petrucelli","missed",531,1131,1185,756
"Milano Brescia game 2","3 punti segnato","Semaj Christon","Amedeo Della Valle","made",552,1152,210,616
"Milano Brescia game 2","3 punti segnato","Miro Bilan","Kenny Gabriel","made",15,1215,705,952
"Milano Brescia game 2","2 punti sbagliato","","Semaj Christon","missed",55,1255,675,252
"Milano Brescia game 2","2 punti segnato","","Miro Bilan","made",102,1302,840,224
"Milano Brescia game 2","2 punti sbagliato","","Semaj Christon","missed",149,1349,885,252
"Milano Brescia game 2","3 punti sbagliato","","Amedeo Della Valle","missed",166,1366,150,756
"Milano Brescia game 2","3 punti segnato","Miro Bilan","Amedeo Della Valle","made",262,1462,45,252
"Milano Brescia game 2","2 punti segnato","","Semaj Christon","made",307,1507,675,196
"Milano Brescia game 2","3 punti sbagliato","","C.J. Massinburg","missed",361,1561,225,784
"Milano Brescia game 2","2 punti segnato","Amedeo Della Valle","Semaj Christon","made",379,1579,705,224
"Milano Brescia game 2","2 punti sbagliato","","Michael Cobbins","missed",380,1580,795,252
"Milano Brescia game 2","2 punti segnato","Jason Burnell","Michael Cobbins","made",416,1616,675,308
"Milano Brescia game 2","2 punti segnato","","Jason Burnell","made",460,1660,675,420
"Milano Brescia game 2","2 punti sbagliato","","Jason Burnell","missed",499,1699,945,420
"Milano Brescia game 2","3 punti sbagliato","","Amedeo Della Valle","missed",522,1722,225,728
"Milano Brescia game 2","2 punti segnato","","John Petrucelli","made",574,1774,510,644
"Milano Brescia game 2","2 punti segnato","Jason Burnell","Michael Cobbins","made",29,1829,765,420
"Milano Brescia game 2","2 punti segnato","Michael Cobbins","John Petrucelli","made",65,1865,675,280
"Milano Brescia game 2","2 punti sbagliato","","Jason Burnell","missed",148,1948,405,476
"Milano Brescia game 2","3 punti segnato","","C.J. Massinburg","made",154,1954,285,756
"Milano Brescia game 2","3 punti sbagliato","","C.J. Massinburg","missed",188,1988,45,252
"Milano Brescia game 2","3 punti segnato","","John Petrucelli","made",276,2076,1080,840
"Milano Brescia game 2","2 punti sbagliato","","John Petrucelli","missed",341,2141,795,224
"Milano Brescia game 2","2 punti segnato","","C.J. Massinburg","made",341,2141,795,224
"Milano Brescia game 2","2 punti sbagliato","","Amedeo Della Valle","missed",390,2190,585,308
