,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
1480,2 punti sbagliato,,Ryan Hawkins,missed,580,1780,930.0,504.0,3
1481,2 punti segnato,,Derek Ogbeide,made,580,1780,930.0,504.0,3
1482,2 punti segnato,,Jordon Varnado,made,27,1827,780.0,140.0,0
1483,3 punti sbagliato,,Ryan Hawkins,missed,68,1868,1080.0,840.0,7
1484,2 punti sbagliato,,Jordon Varnado,missed,110,1910,765.0,196.0,0
1485,2 punti sbagliato,,Derek Ogbeide,missed,111,1911,765.0,224.0,0
1486,3 punti sbagliato,,Carl Wheatle,missed,148,1948,600.0,896.0,6
1487,2 punti segnato,,Charlie Edward Moore,made,197,1997,765.0,196.0,0
1488,2 punti segnato,,Ryan Hawkins,made,240,2040,465.0,336.0,2
1489,3 punti sbagliato,,Payton Terrell Willis,missed,271,2071,300.0,728.0,6
1490,2 punti sbagliato,,Charlie Edward Moore,missed,367,2167,765.0,448.0,3
1491,2 punti sbagliato,,Charlie Edward Moore,missed,440,2240,1140.0,196.0,4
1492,3 punti sbagliato,,Payton Terrell Willis,missed,519,2319,270.0,728.0,6
1493,2 punti sbagliato,,Charlie Edward Moore,missed,551,2351,765.0,280.0,0
1494,3 punti segnato,Charlie Edward Moore,Jordon Varnado,made,571,2371,60.0,112.0,5
1495,3 punti segnato,Charlie Edward Moore,Carl Wheatle,made,579,2379,975.0,868.0,7
1496,3 punti segnato,Carl Wheatle,Charlie Edward Moore,made,599,2399,930.0,896.0,7
1497,2 punti sbagliato,,Charlie Edward Moore,missed,600,2400,840.0,308.0,0
1498,2 punti segnato,,Ryan Hawkins,made,600,2400,840.0,308.0,0
1499,3 punti sbagliato,,Payton Terrell Willis,missed,83,83,105.0,532.0,6
1500,2 punti sbagliato,,Jordon Varnado,missed,111,111,885.0,672.0,3
1501,2 punti segnato,Charlie Edward Moore,Derek Ogbeide,made,141,141,735.0,224.0,0
1502,3 punti segnato,Lorenzo Saccaggi,Payton Terrell Willis,made,171,171,285.0,756.0,6
1503,3 punti sbagliato,,Jordon Varnado,missed,262,262,975.0,924.0,7
1504,3 punti segnato,,Payton Terrell Willis,made,293,293,780.0,924.0,7
1505,3 punti segnato,Payton Terrell Willis,Ryan Hawkins,made,323,323,150.0,728.0,6
1506,3 punti sbagliato,,Payton Terrell Willis,missed,370,370,615.0,1036.0,6
1507,2 punti sbagliato,,Derek Ogbeide,missed,374,374,825.0,392.0,3
1508,2 punti sbagliato,,Charlie Edward Moore,missed,396,396,810.0,616.0,3
1509,3 punti sbagliato,,Charlie Edward Moore,missed,423,423,195.0,924.0,6
1510,2 punti segnato,,Payton Terrell Willis,made,448,448,1080.0,672.0,3
1511,2 punti sbagliato,,Charlie Edward Moore,missed,484,484,795.0,392.0,0
