,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
586,2 punti segnato,,Miro Bilan,made,282,2082,750.0,392.0,0
587,3 punti segnato,Amedeo Della Valle,Kenny Gabriel,made,351,2151,315.0,784.0,6
588,3 punti segnato,,Amedeo Della Valle,made,388,2188,645.0,1008.0,6
589,3 punti segnato,Semaj Christon,John Petrucelli,made,433,2233,105.0,504.0,5
590,2 punti segnato,,Amedeo Della Valle,made,477,2277,1065.0,504.0,3
591,2 punti segnato,,John Petrucelli,made,512,2312,705.0,644.0,2
592,2 punti segnato,Semaj Christon,John Petrucelli,made,541,2341,855.0,196.0,0
593,3 punti sbagliato,,John Petrucelli,missed,583,2383,1335.0,644.0,7
594,3 punti sbagliato,,Amedeo Della Valle,missed,600,2400,255.0,924.0,6
595,2 punti sbagliato,,Semaj Christon,missed,28,28,870.0,336.0,0
596,2 punti sbagliato,,Amedeo Della Valle,missed,53,53,780.0,224.0,0
597,3 punti segnato,Amedeo Della Valle,John Petrucelli,made,89,89,1380.0,476.0,8
598,3 punti segnato,Miro Bilan,Amedeo Della Valle,made,116,116,1455.0,140.0,8
599,3 punti segnato,Amedeo Della Valle,Kenny Gabriel,made,154,154,1200.0,756.0,7
600,2 punti sbagliato,,Miro Bilan,missed,213,213,840.0,168.0,0
601,2 punti segnato,John Petrucelli,Miro Bilan,made,244,244,765.0,168.0,0
602,2 punti segnato,,John Petrucelli,made,284,284,570.0,280.0,0
603,3 punti segnato,John Petrucelli,Amedeo Della Valle,made,332,332,375.0,840.0,6
604,3 punti sbagliato,,Amedeo Della Valle,missed,364,364,465.0,868.0,6
605,2 punti segnato,,Kenny Gabriel,made,383,383,990.0,168.0,0
606,3 punti segnato,Semaj Christon,Kenny Gabriel,made,406,406,675.0,896.0,6
607,2 punti segnato,C.J. Massinburg,Miro Bilan,made,437,437,795.0,196.0,0
608,2 punti segnato,,Semaj Christon,made,469,469,855.0,252.0,0
609,2 punti segnato,Semaj Christon,Miro Bilan,made,496,496,705.0,364.0,0
610,2 punti sbagliato,,C.J. Massinburg,missed,532,532,495.0,168.0,1
611,2 punti segnato,,Semaj Christon,made,573,573,795.0,196.0,0
612,3 punti sbagliato,,Semaj Christon,missed,600,600,870.0,924.0,7
613,3 punti segnato,C.J. Massinburg,David Reginald Cournooh,made,16,616,1185.0,728.0,7
614,2 punti segnato,David Reginald Cournooh,Jason Burnell,made,47,647,765.0,168.0,0
615,3 punti sbagliato,,C.J. Massinburg,missed,84,684,315.0,756.0,6
616,2 punti sbagliato,,C.J. Massinburg,missed,113,713,690.0,196.0,0
617,2 punti segnato,,Jason Burnell,made,116,716,765.0,252.0,0
618,2 punti segnato,C.J. Massinburg,Kenny Gabriel,made,139,739,735.0,168.0,0
619,2 punti sbagliato,,Nicola Akele,missed,176,776,855.0,280.0,0
620,3 punti sbagliato,,Jason Burnell,missed,222,822,1275.0,644.0,7
621,3 punti sbagliato,,Kenny Gabriel,missed,239,839,405.0,952.0,6
622,3 punti segnato,Miro Bilan,David Reginald Cournooh,made,280,880,705.0,896.0,6
623,2 punti sbagliato,,Miro Bilan,missed,310,910,735.0,448.0,2
624,2 punti segnato,,Amedeo Della Valle,made,330,930,765.0,560.0,3
625,2 punti segnato,Jason Burnell,Amedeo Della Valle,made,355,955,855.0,504.0,3
626,3 punti segnato,David Reginald Cournooh,C.J. Massinburg,made,389,989,1455.0,168.0,8
627,2 punti segnato,Semaj Christon,Jason Burnell,made,451,1051,780.0,224.0,0
628,2 punti sbagliato,,Miro Bilan,missed,481,1081,750.0,252.0,0
629,2 punti segnato,Miro Bilan,John Petrucelli,made,486,1086,615.0,336.0,0
630,2 punti segnato,Semaj Christon,John Petrucelli,made,537,1137,735.0,224.0,0
631,3 punti sbagliato,,Amedeo Della Valle,missed,565,1165,795.0,952.0,7
632,3 punti segnato,Semaj Christon,Kenny Gabriel,made,576,1176,765.0,896.0,7
633,3 punti segnato,Amedeo Della Valle,Semaj Christon,made,597,1197,1065.0,980.0,7
634,3 punti sbagliato,,Kenny Gabriel,missed,14,1214,375.0,784.0,6
635,2 punti segnato,,Miro Bilan,made,121,1321,765.0,168.0,0
636,2 punti segnato,Semaj Christon,Kenny Gabriel,made,146,1346,720.0,168.0,0
637,3 punti segnato,Kenny Gabriel,Amedeo Della Valle,made,177,1377,270.0,700.0,6
638,3 punti sbagliato,,John Petrucelli,missed,245,1445,90.0,448.0,5
639,3 punti segnato,Amedeo Della Valle,John Petrucelli,made,277,1477,1110.0,784.0,7
640,3 punti segnato,Miro Bilan,Amedeo Della Valle,made,352,1552,60.0,140.0,5
641,3 punti sbagliato,,Amedeo Della Valle,missed,382,1582,165.0,588.0,6
642,3 punti sbagliato,,Amedeo Della Valle,missed,409,1609,660.0,868.0,6
643,2 punti segnato,,Miro Bilan,made,433,1633,735.0,224.0,0
644,3 punti sbagliato,,C.J. Massinburg,missed,487,1687,525.0,840.0,6
645,2 punti segnato,Jason Burnell,C.J. Massinburg,made,492,1692,810.0,196.0,0
646,3 punti sbagliato,,Matteo Porto,missed,532,1732,1440.0,140.0,8
647,2 punti segnato,,C.J. Massinburg,made,568,1768,825.0,252.0,0
648,3 punti sbagliato,,Matteo Porto,missed,598,1798,1485.0,336.0,8
649,3 punti segnato,David Reginald Cournooh,C.J. Massinburg,made,34,1834,360.0,812.0,6
650,2 punti segnato,C.J. Massinburg,Jason Burnell,made,78,1878,795.0,280.0,0
651,3 punti sbagliato,,Jason Burnell,missed,110,1910,510.0,812.0,6
652,2 punti sbagliato,,Nicola Akele,missed,141,1941,795.0,280.0,0
653,2 punti segnato,David Reginald Cournooh,Jason Burnell,made,166,1966,630.0,448.0,2
654,3 punti sbagliato,,Nicola Akele,missed,206,2006,315.0,728.0,6
655,2 punti segnato,,Nicola Akele,made,218,2018,750.0,308.0,0
656,2 punti segnato,,Jason Burnell,made,236,2036,780.0,140.0,0
657,2 punti sbagliato,,Nicola Akele,missed,274,2074,660.0,224.0,0
658,2 punti sbagliato,,C.J. Massinburg,missed,291,2091,705.0,224.0,0
659,3 punti sbagliato,,Jason Burnell,missed,350,2150,1140.0,784.0,7
660,3 punti segnato,Nicola Akele,C.J. Massinburg,made,354,2154,765.0,868.0,7
661,2 punti segnato,Nicola Akele,Jason Burnell,made,426,2226,750.0,308.0,0
662,2 punti sbagliato,,Nicola Akele,missed,447,2247,780.0,280.0,0
663,3 punti sbagliato,,John Petrucelli,missed,481,2281,450.0,840.0,6
664,2 punti segnato,,C.J. Massinburg,made,484,2284,765.0,168.0,0
665,3 punti sbagliato,,David Reginald Cournooh,missed,512,2312,975.0,868.0,7
666,3 punti sbagliato,,Matteo Porto,missed,535,2335,720.0,868.0,6
667,2 punti sbagliato,,Matteo Porto,missed,579,2379,990.0,280.0,4
668,2 punti segnato,John Petrucelli,Matteo Porto,made,584,2384,825.0,168.0,0
669,2 punti sbagliato,,Semaj Christon,missed,24,24,510.0,728.0,2
670,2 punti segnato,John Petrucelli,Miro Bilan,made,52,52,825.0,196.0,0
671,3 punti sbagliato,,Amedeo Della Valle,missed,98,98,480.0,840.0,6
672,2 punti sbagliato,,John Petrucelli,missed,117,117,885.0,196.0,0
673,2 punti sbagliato,,Miro Bilan,missed,139,139,915.0,252.0,0
674,3 punti sbagliato,,Amedeo Della Valle,missed,178,178,315.0,812.0,6
675,2 punti segnato,,John Petrucelli,made,210,210,780.0,280.0,0
676,3 punti segnato,Semaj Christon,John Petrucelli,made,250,250,1410.0,420.0,8
677,3 punti segnato,Semaj Christon,Amedeo Della Valle,made,267,267,1260.0,700.0,7
