"description","assist","player","result","periodTime","totalTime","xx","yy"
"2 punti segnato","","Miro Bilan","made",130,130,765,196
"2 punti segnato","","Semaj Christon","made",193,193,795,168
"2 punti segnato","Amedeo Della Valle","Miro Bilan","made",301,301,705,364
"3 punti segnato","","Amedeo Della Valle","made",374,374,285,728
"2 punti segnato","","Semaj Christon","made",428,428,945,700
"2 punti sbagliato","","David Reginald Cournooh","missed",490,490,1050,504
"2 punti segnato","","C.J. Massinburg","made",518,518,675,252
"2 punti sbagliato","","C.J. Massinburg","missed",550,550,825,224
"3 punti segnato","Michael Cobbins","David Reginald Cournooh","made",578,578,390,784
"2 punti segnato","","Jason Burnell","made",597,597,720,252
"2 punti sbagliato","","C.J. Massinburg","missed",597,597,765,308
"3 punti sbagliato","","John Petrucelli","missed",16,616,300,728
"2 punti sbagliato","","C.J. Massinburg","missed",20,620,660,308
"2 punti segnato","","C.J. Massinburg","made",53,653,810,252
"3 punti segnato","Jason Burnell","C.J. Massinburg","made",135,735,360,784
"3 punti segnato","","Amedeo Della Valle","made",166,766,435,840
"3 punti sbagliato","","David Reginald Cournooh","missed",251,851,765,924
"2 punti segnato","","Amedeo Della Valle","made",279,879,585,560
"2 punti segnato","Amedeo Della Valle","Miro Bilan","made",314,914,795,168
"2 punti segnato","","Miro Bilan","made",374,974,720,364
"2 punti segnato","","Semaj Christon","made",423,1023,690,196
"2 punti sbagliato","","Semaj Christon","missed",453,1053,735,252
"2 punti sbagliato","","Michael Cobbins","missed",453,1053,735,252
"2 punti segnato","","Semaj Christon","made",484,1084,705,588
"2 punti sbagliato","","John Petrucelli","missed",529,1129,555,224
"2 punti segnato","Michael Cobbins","Amedeo Della Valle","made",529,1129,510,672
"2 punti segnato","Semaj Christon","Jason Burnell","made",545,1145,705,168
"2 punti sbagliato","","John Petrucelli","missed",587,1187,615,420
"2 punti segnato","","Jason Burnell","made",588,1188,510,336
"3 punti sbagliato","","Semaj Christon","missed",63,1263,1110,784
"2 punti sbagliato","","Amedeo Della Valle","missed",89,1289,1155,420
"3 punti sbagliato","","Nicola Akele","missed",89,1289,525,840
"3 punti sbagliato","","Nicola Akele","missed",89,1289,420,784
"2 punti sbagliato","","Semaj Christon","missed",182,1382,750,588
"2 punti sbagliato","","John Petrucelli","missed",193,1393,660,224
"3 punti sbagliato","","John Petrucelli","missed",229,1429,1230,700
"2 punti segnato","C.J. Massinburg","Semaj Christon","made",289,1489,720,168
"2 punti segnato","C.J. Massinburg","Miro Bilan","made",323,1523,1005,504
"3 punti segnato","Semaj Christon","C.J. Massinburg","made",359,1559,1185,728
"2 punti segnato","","Jason Burnell","made",431,1631,885,448
"3 punti sbagliato","","Jason Burnell","missed",478,1678,690,868
"2 punti sbagliato","","Miro Bilan","missed",481,1681,795,196
"2 punti segnato","C.J. Massinburg","Miro Bilan","made",531,1731,810,140
"2 punti segnato","C.J. Massinburg","Michael Cobbins","made",41,1841,765,140
"2 punti sbagliato","","David Reginald Cournooh","missed",117,1917,810,224
"2 punti segnato","","Michael Cobbins","made",117,1917,810,224
"2 punti segnato","C.J. Massinburg","Michael Cobbins","made",131,1931,750,140
"2 punti sbagliato","","Jason Burnell","missed",175,1975,720,224
"2 punti sbagliato","","C.J. Massinburg","missed",186,1986,1050,448
"2 punti sbagliato","","David Reginald Cournooh","missed",214,2014,615,308
"2 punti segnato","","C.J. Massinburg","made",221,2021,825,196
"3 punti sbagliato","","Jason Burnell","missed",258,2058,540,840
"2 punti sbagliato","","C.J. Massinburg","missed",271,2071,900,196
"2 punti segnato","","Michael Cobbins","made",271,2071,900,196
"3 punti segnato","Miro Bilan","C.J. Massinburg","made",315,2115,1470,84
"3 punti segnato","John Petrucelli","C.J. Massinburg","made",350,2150,390,812
"3 punti segnato","C.J. Massinburg","John Petrucelli","made",401,2201,1455,224
"2 punti segnato","","Semaj Christon","made",436,2236,960,560
"2 punti segnato","","John Petrucelli","made",462,2262,720,168
"2 punti segnato","C.J. Massinburg","Miro Bilan","made",482,2282,810,196
"2 punti segnato","","Jason Burnell","made",540,2340,840,280
"2 punti segnato","","C.J. Massinburg","made",567,2367,810,224
"3 punti segnato","John Petrucelli","C.J. Massinburg","made",587,2387,1470,336
"2 punti sbagliato","","Matteo Porto","missed",592,2392,450,252
"2 punti sbagliato","","Jason Burnell","missed",597,2397,825,196
"2 punti segnato","","Miro Bilan","made",597,2397,810,196
"2 punti segnato","C.J. Massinburg","Nicola Akele","made",23,23,825,140
"3 punti sbagliato","","Semaj Christon","missed",43,43,60,420
"2 punti segnato","Semaj Christon","Miro Bilan","made",76,76,840,280
"3 punti segnato","Miro Bilan","C.J. Massinburg","made",103,103,180,672
"3 punti segnato","Semaj Christon","John Petrucelli","made",142,142,1155,784
"2 punti sbagliato","","Nicola Akele","missed",207,207,675,140
"2 punti segnato","Miro Bilan","Nicola Akele","made",240,240,765,196
"3 punti segnato","John Petrucelli","Kenny Gabriel","made",320,320,375,868
"3 punti segnato","C.J. Massinburg","Semaj Christon","made",352,352,705,868
"3 punti sbagliato","","C.J. Massinburg","missed",414,414,105,476
"2 punti segnato","","Miro Bilan","made",414,414,105,476
"3 punti sbagliato","","Kenny Gabriel","missed",463,463,1035,840
"3 punti sbagliato","","John Petrucelli","missed",494,494,720,896
"3 punti segnato","","Jason Burnell","made",521,521,885,868
"3 punti segnato","Jason Burnell","David Reginald Cournooh","made",578,578,690,868
"3 punti sbagliato","","John Petrucelli","missed",25,625,225,672
"2 punti segnato","","David Reginald Cournooh","made",65,665,735,84
"2 punti segnato","","David Reginald Cournooh","made",116,716,735,140
"3 punti sbagliato","","John Petrucelli","missed",165,765,1470,560
"2 punti sbagliato","","John Petrucelli","missed",179,779,645,504
"2 punti sbagliato","","Michael Cobbins","missed",190,790,780,476
"2 punti segnato","","John Petrucelli","made",190,790,780,476
"2 punti sbagliato","","Semaj Christon","missed",223,823,450,616
"2 punti sbagliato","","Miro Bilan","missed",253,853,795,140
"2 punti segnato","C.J. Massinburg","Jason Burnell","made",292,892,660,84
"3 punti segnato","Semaj Christon","C.J. Massinburg","made",347,947,1125,784
"2 punti segnato","","Jason Burnell","made",389,989,570,84
"3 punti sbagliato","","David Reginald Cournooh","missed",442,1042,855,896
"2 punti segnato","","Semaj Christon","made",466,1066,705,728
"3 punti segnato","Semaj Christon","C.J. Massinburg","made",501,1101,90,476
"3 punti sbagliato","","Semaj Christon","missed",535,1135,510,896
"3 punti sbagliato","","C.J. Massinburg","missed",555,1155,15,112
"2 punti segnato","","Miro Bilan","made",555,1155,15,112
"2 punti segnato","","Miro Bilan","made",600,1200,660,140
"2 punti sbagliato","","C.J. Massinburg","missed",46,1246,840,140
"2 punti segnato","","John Petrucelli","made",79,1279,645,140
"3 punti sbagliato","","John Petrucelli","missed",112,1312,45,84
"2 punti sbagliato","","Nicola Akele","missed",137,1337,1155,252
"3 punti segnato","Jason Burnell","C.J. Massinburg","made",201,1401,30,168
"2 punti sbagliato","","Jason Burnell","missed",277,1477,630,56
"3 punti sbagliato","","C.J. Massinburg","missed",304,1504,1245,700
"3 punti segnato","Michael Cobbins","Kenny Gabriel","made",320,1520,1455,196
"3 punti sbagliato","","Kenny Gabriel","missed",359,1559,75,420
"2 punti segnato","","David Reginald Cournooh","made",441,1641,675,84
"2 punti segnato","","Jason Burnell","made",477,1677,690,392
"2 punti segnato","","David Reginald Cournooh","made",490,1690,825,364
"2 punti sbagliato","","David Reginald Cournooh","missed",562,1762,795,168
"2 punti segnato","Michael Cobbins","Semaj Christon","made",574,1774,735,168
"3 punti sbagliato","","Jason Burnell","missed",8,1808,1455,308
"2 punti segnato","","Semaj Christon","made",77,1877,705,140
"3 punti segnato","C.J. Massinburg","David Reginald Cournooh","made",116,1916,30,308
"2 punti segnato","David Reginald Cournooh","Semaj Christon","made",161,1961,690,112
"2 punti segnato","","Michael Cobbins","made",185,1985,900,112
"3 punti sbagliato","","David Reginald Cournooh","missed",243,2043,75,448
"3 punti sbagliato","","David Reginald Cournooh","missed",282,2082,1410,476
"2 punti sbagliato","","John Petrucelli","missed",298,2098,855,168
"2 punti segnato","","Miro Bilan","made",298,2098,855,168
"3 punti segnato","David Reginald Cournooh","C.J. Massinburg","made",314,2114,1170,784
"2 punti segnato","","Miro Bilan","made",373,2173,660,112
"2 punti segnato","","David Reginald Cournooh","made",402,2202,825,112
"2 punti segnato","","David Reginald Cournooh","made",462,2262,780,112
"2 punti segnato","","Semaj Christon","made",503,2303,405,112
"2 punti sbagliato","","Semaj Christon","missed",15,15,540,448
"2 punti sbagliato","","Miro Bilan","missed",28,28,825,308
"3 punti segnato","Miro Bilan","Nicola Akele","made",50,50,60,336
"3 punti sbagliato","","Nicola Akele","missed",102,102,45,280
"3 punti segnato","","Amedeo Della Valle","made",125,125,1365,476
"2 punti sbagliato","","Semaj Christon","missed",190,190,900,280
"2 punti segnato","Semaj Christon","John Petrucelli","made",214,214,825,196
"3 punti segnato","","Amedeo Della Valle","made",238,238,1125,784
"2 punti sbagliato","","Miro Bilan","missed",278,278,810,252
"3 punti sbagliato","","John Petrucelli","missed",295,295,180,672
"2 punti segnato","Semaj Christon","Miro Bilan","made",306,306,765,168
"2 punti segnato","Semaj Christon","Michael Cobbins","made",363,363,750,140
"3 punti sbagliato","","Kenny Gabriel","missed",499,499,240,756
"2 punti segnato","","David Reginald Cournooh","made",551,551,675,224
"2 punti sbagliato","","Jason Burnell","missed",41,641,600,280
"3 punti segnato","","Kenny Gabriel","made",54,654,165,644
"3 punti segnato","John Petrucelli","Kenny Gabriel","made",79,679,45,196
"2 punti sbagliato","","Miro Bilan","missed",90,690,495,448
"2 punti segnato","John Petrucelli","Jason Burnell","made",174,774,735,140
"3 punti sbagliato","","Kenny Gabriel","missed",240,840,1230,728
"2 punti segnato","","Miro Bilan","made",240,840,1230,728
"2 punti sbagliato","","Semaj Christon","missed",270,870,825,224
"2 punti segnato","","Miro Bilan","made",275,875,705,224
"2 punti sbagliato","","John Petrucelli","missed",324,924,885,252
"2 punti sbagliato","","Miro Bilan","missed",355,955,825,168
"2 punti segnato","Semaj Christon","Miro Bilan","made",409,1009,720,448
"2 punti segnato","Semaj Christon","Miro Bilan","made",440,1040,765,168
"3 punti segnato","Jason Burnell","Nicola Akele","made",508,1108,1170,784
"3 punti segnato","Semaj Christon","Nicola Akele","made",552,1152,405,840
"3 punti sbagliato","","Kenny Gabriel","missed",599,1199,240,868
"3 punti sbagliato","","Amedeo Della Valle","missed",28,1228,645,868
"3 punti segnato","Miro Bilan","Semaj Christon","made",34,1234,1020,840
"2 punti segnato","John Petrucelli","Amedeo Della Valle","made",105,1305,780,140
"3 punti sbagliato","","John Petrucelli","missed",138,1338,1260,756
"3 punti sbagliato","","Amedeo Della Valle","missed",146,1346,255,756
"2 punti segnato","","Miro Bilan","made",146,1346,255,756
"3 punti sbagliato","","Amedeo Della Valle","missed",174,1374,405,924
"2 punti sbagliato","","Semaj Christon","missed",259,1459,915,728
"3 punti sbagliato","","Kenny Gabriel","missed",370,1570,1335,616
"3 punti segnato","Michael Cobbins","Kenny Gabriel","made",437,1637,60,140
"3 punti segnato","David Reginald Cournooh","Kenny Gabriel","made",485,1685,1455,168
"3 punti sbagliato","","David Reginald Cournooh","missed",531,1731,750,896
"3 punti sbagliato","","David Reginald Cournooh","missed",596,1796,690,952
"2 punti segnato","Jason Burnell","Kenny Gabriel","made",18,1818,270,448
"3 punti segnato","Jason Burnell","Kenny Gabriel","made",36,1836,285,728
"2 punti segnato","","Semaj Christon","made",76,1876,960,560
"3 punti sbagliato","","Kenny Gabriel","missed",100,1900,1200,784
"3 punti segnato","David Reginald Cournooh","Kenny Gabriel","made",114,1914,225,644
"3 punti sbagliato","","Kenny Gabriel","missed",143,1943,1140,784
"2 punti sbagliato","","Michael Cobbins","missed",208,2008,615,168
"2 punti segnato","Jason Burnell","David Reginald Cournooh","made",235,2035,870,196
"2 punti segnato","","John Petrucelli","made",252,2052,765,168
"3 punti sbagliato","","John Petrucelli","missed",273,2073,1425,504
"2 punti sbagliato","","Jason Burnell","missed",313,2113,405,140
"2 punti segnato","","John Petrucelli","made",329,2129,765,140
"2 punti sbagliato","","Michael Cobbins","missed",374,2174,525,392
"2 punti sbagliato","","Nicolas Tanfoglio","missed",408,2208,885,196
"3 punti sbagliato","","Nicolas Tanfoglio","missed",508,2308,60,140
"3 punti sbagliato","","Nicolas Tanfoglio","missed",522,2322,1155,868
"2 punti sbagliato","","Matteo Porto","missed",571,2371,960,504
"3 punti sbagliato","","Matteo Porto","missed",586,2386,1260,728
"2 punti segnato","","Nicola Akele","made",19,19,675,476
"2 punti sbagliato","","Nicola Akele","missed",57,57,855,280
"2 punti segnato","Semaj Christon","Miro Bilan","made",66,66,720,140
"2 punti sbagliato","","John Petrucelli","missed",126,126,945,280
"2 punti sbagliato","","Miro Bilan","missed",154,154,705,336
"2 punti segnato","Miro Bilan","John Petrucelli","made",169,169,720,140
"2 punti segnato","","John Petrucelli","made",212,212,945,252
"3 punti sbagliato","","Nicola Akele","missed",251,251,105,588
"2 punti segnato","","John Petrucelli","made",298,298,720,140
"2 punti segnato","Nicola Akele","Miro Bilan","made",346,346,765,336
"2 punti segnato","","Miro Bilan","made",380,380,870,196
"3 punti sbagliato","","Amedeo Della Valle","missed",422,422,750,1008
"3 punti sbagliato","","John Petrucelli","missed",457,457,840,1036
"2 punti segnato","","Jason Burnell","made",490,490,735,476
"3 punti segnato","Jason Burnell","David Reginald Cournooh","made",518,518,1125,924
"2 punti segnato","","Jason Burnell","made",38,638,915,392
"3 punti segnato","David Reginald Cournooh","Kenny Gabriel","made",81,681,300,924
"2 punti sbagliato","","Jason Burnell","missed",178,778,765,448
"2 punti segnato","","C.J. Massinburg","made",197,797,675,448
"2 punti segnato","","Semaj Christon","made",216,816,855,224
"2 punti sbagliato","","Jason Burnell","missed",242,842,540,308
"2 punti segnato","Semaj Christon","Nicola Akele","made",301,901,735,140
"2 punti segnato","","John Petrucelli","made",353,953,825,168
"2 punti segnato","Miro Bilan","Nicola Akele","made",414,1014,825,196
"2 punti sbagliato","","Miro Bilan","missed",506,1106,840,224
"2 punti sbagliato","","David Reginald Cournooh","missed",534,1134,1005,644
