,description,assist,player,result,periodTime,totalTime,xx,yy,sector_id
17582,3 punti segnato,Scott Bamforth,Trevon Bluiett,made,256,2056,1170.0,812.0,7
17583,3 punti sbagliato,,Xavier Sneed,missed,267,2067,1350.0,700.0,7
17584,2 punti sbagliato,,Xavier Sneed,missed,300,2100,975.0,364.0,3
17585,2 punti sbagliato,,Jeremy Senglin,missed,340,2140,750.0,756.0,2
17586,3 punti sbagliato,,Scott Bamforth,missed,349,2149,660.0,952.0,6
17587,2 punti segnato,Jamel Morris,Jordan Bayehe,made,398,2198,945.0,224.0,0
17588,2 punti segnato,,Frank Bartley,made,413,2213,765.0,112.0,0
17589,3 punti sbagliato,,Markis Mcduffie,missed,419,2219,465.0,924.0,6
17590,2 punti sbagliato,,Andrea Cinciarini,missed,427,2227,900.0,476.0,3
17591,3 punti sbagliato,,Quincy Ford,missed,437,2237,1260.0,756.0,7
17592,2 punti sbagliato,,Markis Mcduffie,missed,475,2275,645.0,336.0,0
17593,2 punti sbagliato,,Xavier Sneed,missed,502,2302,420.0,196.0,1
17594,2 punti segnato,Markis Mcduffie,Andrea Cinciarini,made,511,2311,885.0,252.0,0
17595,2 punti sbagliato,,Frank Bartley,missed,523,2323,690.0,364.0,0
17596,3 punti sbagliato,,Andrea Cinciarini,missed,530,2330,1380.0,560.0,7
17597,2 punti segnato,Frank Bartley,Jamel Morris,made,539,2339,960.0,252.0,0
17598,2 punti sbagliato,,Jeremy Senglin,missed,569,2369,1125.0,560.0,3
17599,3 punti segnato,,Frank Bartley,made,576,2376,390.0,840.0,6
17600,3 punti segnato,Scott Bamforth,Trevon Bluiett,made,583,2383,225.0,784.0,6
17601,3 punti sbagliato,,Frank Bartley,missed,585,2385,705.0,896.0,6
17602,3 punti segnato,,Quincy Ford,made,594,2394,1050.0,868.0,7
17603,3 punti sbagliato,,Sean Mcdermott,missed,15,15,30.0,336.0,5
17604,2 punti segnato,,Grant Golden,made,30,30,765.0,280.0,0
